transaction_id,user_id,timestamp,amount,merchant,merchant_category,location,latitude,longitude,device_type
TXN000339,U00001,2024-01-07T08:58:00,76.74,Starbucks,Food & Beverage,Seattle,47.7068,-122.2814,mobile_android
TXN001328,U00052,2024-01-07T11:20:00,2054.14,Spotify,Entertainment,San Francisco,37.7973,-122.4542,mobile_android
TXN001295,U00065,2024-01-07T14:02:00,171.95,Starbucks,Food & Beverage,Miami,25.8042,-80.2223,tablet_ios
TXN000371,U00007,2024-01-07T14:12:00,211.76,Best Buy,Electronics,Austin,30.3779,-97.635,tablet_ios
TXN001146,U00059,2024-01-07T17:19:00,225.14,Venmo,Transfer,Denver,39.8566,-104.9079,mobile_ios
TXN000904,U00041,2024-01-07T18:13:00,340.65,Best Buy,Electronics,Miami,25.6777,-80.1444,mobile_ios
TXN000007,U00059,2024-01-08T10:26:00,270.15,Netflix,Entertainment,Denver,39.6116,-104.9058,mobile_ios
TXN001432,U00024,2024-01-08T10:40:00,222.68,Marriott Hotels,Travel,Miami,25.8623,-80.2705,mobile_ios
TXN000616,U00017,2024-01-08T11:40:00,39.41,Walmart,Retail,Houston,29.8818,-95.2736,mobile_android
TXN000524,U00053,2024-01-08T14:26:00,166.5,FastTransfer Wire,Transfer,Houston,29.8331,-95.2233,desktop_chrome
TXN000508,U00037,2024-01-08T16:44:00,194.9,Best Buy,Electronics,Phoenix,33.3899,-112.0826,desktop_safari
TXN000635,U00036,2024-01-08T19:47:00,38.98,Uber,Transportation,Philadelphia,39.8769,-75.1849,mobile_android
TXN002045,U00014,2024-01-08T20:00:00,208.99,FastTransfer Wire,Transfer,Moscow,55.757,37.5928,pos_skimmer
TXN000171,U00063,2024-01-09T06:34:00,30.74,Steam Games,Entertainment,Phoenix,33.302,-112.0652,mobile_android
TXN000240,U00010,2024-01-09T08:00:00,245.78,Target,Retail,Miami,25.6764,-80.065,mobile_android
TXN001464,U00042,2024-01-09T09:12:00,122.58,Apple Store,Electronics,San Diego,32.6589,-117.1593,mobile_ios
TXN001657,U00079,2024-01-09T11:05:00,37.2,Target,Retail,Los Angeles,34.1243,-118.1001,mobile_android
TXN001947,U00017,2024-01-09T12:44:00,42.25,Netflix,Entertainment,Houston,29.9088,-95.4148,tablet_ios
TXN001085,U00047,2024-01-09T15:57:00,222.84,Netflix,Entertainment,Denver,39.7398,-104.88,tablet_ios
TXN000082,U00033,2024-01-09T17:50:00,309.14,Netflix,Entertainment,Austin,30.2206,-97.6732,desktop_chrome
TXN001133,U00031,2024-01-09T20:11:00,124.24,Venmo,Transfer,New York,40.5714,-73.9574,mobile_android
TXN000172,U00037,2024-01-09T22:52:00,198.64,Apple Store,Electronics,Phoenix,33.5403,-111.9511,desktop_chrome
TXN001119,U00037,2024-01-10T06:58:00,277.64,McDonald's,Food & Beverage,Moscow,55.7976,37.5712,desktop_safari
TXN001569,U00061,2024-01-10T16:32:00,27.5,Airbnb,Travel,Los Angeles,34.0174,-118.3492,desktop_safari
TXN000514,U00021,2024-01-10T17:43:00,32.91,DoorDash,Food Delivery,San Antonio,29.3807,-98.5529,desktop_safari
TXN001035,U00016,2024-01-11T07:06:00,141.48,Starbucks,Food & Beverage,Austin,30.2062,-97.7396,desktop_chrome
TXN000721,U00063,2024-01-11T07:55:00,103.17,Uber,Transportation,Phoenix,33.3926,-112.1346,mobile_ios
TXN001728,U00062,2024-01-11T09:08:00,146.71,McDonald's,Food & Beverage,Houston,29.8297,-95.4691,desktop_chrome
TXN000861,U00013,2024-01-11T10:24:00,242.59,Uber,Transportation,Dallas,32.7282,-96.8839,desktop_chrome
TXN000778,U00056,2024-01-11T11:18:00,267.64,Starbucks,Food & Beverage,New York,40.6205,-74.0528,desktop_safari
TXN001778,U00074,2024-01-11T14:12:00,81.98,Walmart,Retail,Los Angeles,34.1489,-118.3234,tablet_ios
TXN000918,U00062,2024-01-11T18:27:00,115.2,DoorDash,Food Delivery,Houston,29.8381,-95.2433,tablet_ios
TXN000774,U00061,2024-01-11T20:37:00,124.97,Target,Retail,Los Angeles,33.9626,-118.2229,unknown_device
TXN000707,U00022,2024-01-11T23:20:00,36.96,Shell,Gas Station,Denver,39.7275,-104.8813,desktop_safari
TXN000799,U00021,2024-01-12T06:56:00,72.58,Planet Fitness,Health & Fitness,San Antonio,29.4361,-98.566,desktop_safari
TXN000266,U00010,2024-01-12T08:12:00,92.79,Walmart,Retail,Miami,25.8545,-80.3142,mobile_android
TXN001313,U00024,2024-01-12T20:51:00,258.51,Walmart,Retail,Miami,25.7486,-80.169,mobile_ios
TXN000965,U00029,2024-01-12T21:17:00,246.01,McDonald's,Food & Beverage,Seattle,47.6798,-122.2438,mobile_ios
TXN000956,U00021,2024-01-12T23:25:00,118.73,DoorDash,Food Delivery,San Antonio,29.4008,-98.5016,desktop_safari
TXN001615,U00025,2024-01-13T06:01:00,62.71,Walmart,Retail,Denver,39.6255,-105.0846,mobile_ios
TXN001965,U00026,2024-01-13T06:36:00,208.29,Apple Store,Electronics,San Francisco,37.6794,-122.4099,desktop_chrome
TXN001036,U00029,2024-01-13T13:27:00,297.51,DoorDash,Food Delivery,Seattle,47.5004,-122.2855,mobile_ios
TXN000254,U00053,2024-01-13T13:34:00,182.03,Amazon,E-commerce,Houston,29.8012,-95.3118,desktop_chrome
TXN001681,U00048,2024-01-13T16:31:00,179.19,Delta Airlines,Travel,Austin,30.3423,-97.8284,desktop_safari
TXN000657,U00016,2024-01-13T18:59:00,171.85,Grubhub,Food Delivery,Austin,30.3478,-97.6088,desktop_chrome
TXN001687,U00008,2024-01-13T22:13:00,225.18,Steam Games,Entertainment,Boston,42.3664,-71.2017,desktop_chrome
TXN000819,U00054,2024-01-13T22:20:00,207.36,Grubhub,Food Delivery,Houston,29.6876,-95.4854,mobile_ios
TXN000821,U00024,2024-01-14T07:19:00,139.56,Shell,Gas Station,Miami,25.6413,-80.2991,mobile_ios
TXN001795,U00078,2024-01-14T10:22:00,168.31,Apple Store,Electronics,Boston,42.3238,-71.1744,mobile_android
TXN000589,U00080,2024-01-14T15:31:00,359.2,Apple Store,Electronics,Houston,29.6484,-95.4967,mobile_android
TXN000680,U00039,2024-01-15T09:14:00,250.08,Best Buy,Electronics,New York,40.8198,-74.1133,mobile_android
TXN001057,U00043,2024-01-15T13:18:00,245.32,Target,Retail,Houston,29.7729,-95.5002,mobile_android
TXN000720,U00018,2024-01-15T14:50:00,26.91,McDonald's,Food & Beverage,Austin,30.3148,-97.8403,mobile_android
TXN000275,U00076,2024-01-15T17:36:00,54.87,Starbucks,Food & Beverage,Chicago,41.7707,-87.4953,mobile_ios
TXN001458,U00053,2024-01-15T20:54:00,160.13,Amazon,E-commerce,Houston,29.718,-95.3149,desktop_safari
TXN000433,U00076,2024-01-15T21:07:00,96.57,Spotify,Entertainment,Chicago,41.7484,-87.5897,desktop_safari
TXN001161,U00060,2024-01-15T23:01:00,76.55,Amazon,E-commerce,New York,40.5893,-74.1138,desktop_chrome
TXN001982,U00066,2024-01-16T08:34:00,107.34,Marriott Hotels,Travel,San Diego,32.8339,-117.2199,desktop_chrome
TXN000933,U00044,2024-01-16T13:30:00,72.52,Netflix,Entertainment,Miami,25.8135,-80.3116,mobile_ios
TXN000246,U00016,2024-01-16T16:51:00,150.57,Grubhub,Food Delivery,Austin,30.1988,-97.8739,desktop_chrome
TXN001735,U00045,2024-01-16T16:54:00,325.23,Grubhub,Food Delivery,Boston,42.4479,-71.0792,tablet_ios
TXN000520,U00019,2024-01-16T16:56:00,263.63,Walmart,Retail,San Diego,32.8541,-117.2201,desktop_safari
TXN000122,U00032,2024-01-17T09:12:00,194.9,DoorDash,Food Delivery,Austin,30.2495,-97.7675,desktop_chrome
TXN000282,U00073,2024-01-17T11:38:00,251.88,Delta Airlines,Travel,San Diego,32.842,-117.0208,tablet_ios
TXN000538,U00019,2024-01-17T15:21:00,237.13,Delta Airlines,Travel,San Diego,32.5804,-117.186,desktop_safari
TXN000592,U00068,2024-01-17T16:05:00,146.48,Walmart,Retail,Boston,42.3888,-70.9624,desktop_safari
TXN000962,U00032,2024-01-18T09:15:00,240.65,Grubhub,Food Delivery,Austin,30.2638,-97.6867,desktop_chrome
TXN000092,U00057,2024-01-18T10:04:00,303.64,CVS Pharmacy,Healthcare,Miami,25.8453,-80.2319,tablet_ios
TXN001264,U00032,2024-01-18T14:47:00,194.67,DoorDash,Food Delivery,Austin,30.3611,-97.7797,desktop_chrome
TXN000287,U00010,2024-01-18T15:01:00,172.63,Target,Retail,Miami,25.69,-80.3104,mobile_android
TXN001311,U00076,2024-01-18T16:44:00,110.88,Target,Retail,Chicago,41.9169,-87.519,desktop_safari
TXN000458,U00004,2024-01-18T17:55:00,90.01,DoorDash,Food Delivery,Los Angeles,34.1615,-118.2535,desktop_chrome
TXN001232,U00017,2024-01-18T19:01:00,22.21,Target,Retail,Houston,29.6605,-95.4979,mobile_ios
TXN001368,U00077,2024-01-19T10:09:00,198.95,CVS Pharmacy,Healthcare,San Antonio,29.3606,-98.5773,tablet_ios
TXN001214,U00060,2024-01-19T17:30:00,187.72,Uber,Transportation,New York,40.6282,-74.1384,mobile_android
TXN001933,U00023,2024-01-20T07:16:00,64.07,Grubhub,Food Delivery,San Antonio,29.4561,-98.3617,desktop_safari
TXN001899,U00035,2024-01-20T08:53:00,317.74,Venmo,Transfer,Boston,42.2732,-71.1166,desktop_chrome
TXN001879,U00017,2024-01-20T16:51:00,18.61,Walmart,Retail,Houston,29.8958,-95.3123,mobile_android
TXN000498,U00039,2024-01-20T18:05:00,152.93,Best Buy,Electronics,New York,40.8394,-74.0557,desktop_chrome
TXN000607,U00001,2024-01-20T18:17:00,3.27,DoorDash,Food Delivery,Seattle,47.6662,-122.2107,mobile_android
TXN001277,U00015,2024-01-20T19:31:00,380.61,Shell,Gas Station,Los Angeles,34.09,-118.2363,mobile_android
TXN000161,U00078,2024-01-21T08:12:00,119.67,Marriott Hotels,Travel,Boston,42.4274,-71.0412,mobile_android
TXN000262,U00078,2024-01-21T12:53:00,157.14,Apple Store,Electronics,Boston,42.2546,-70.9956,mobile_android
TXN001364,U00051,2024-01-21T17:25:00,58.13,Planet Fitness,Health & Fitness,San Antonio,29.4027,-98.6064,mobile_android
TXN000751,U00064,2024-01-21T20:22:00,83.51,Amazon,E-commerce,San Francisco,37.7622,-122.5357,desktop_chrome
TXN001653,U00007,2024-01-22T08:17:00,214.31,Planet Fitness,Health & Fitness,Austin,30.2817,-97.8126,mobile_android
TXN000682,U00056,2024-01-22T12:06:00,223.29,Grubhub,Food Delivery,New York,40.8007,-74.002,desktop_safari
TXN001972,U00023,2024-01-22T14:39:00,1.0,DoorDash,Food Delivery,San Antonio,29.5164,-98.5543,desktop_safari
TXN000655,U00015,2024-01-22T16:36:00,397.66,Shell,Gas Station,Los Angeles,34.0345,-118.2828,mobile_android
TXN001638,U00056,2024-01-22T16:49:00,301.4,Netflix,Entertainment,New York,40.5711,-73.9545,mobile_android
TXN001590,U00015,2024-01-22T18:51:00,230.72,DoorDash,Food Delivery,Los Angeles,34.125,-118.1314,mobile_android
TXN000299,U00017,2024-01-22T19:05:00,47.25,Target,Retail,Houston,29.741,-95.2206,mobile_ios
TXN001963,U00066,2024-01-22T19:28:00,171.68,Starbucks,Food & Beverage,San Diego,32.6397,-117.1725,desktop_chrome
TXN001510,U00041,2024-01-23T06:09:00,351.22,Delta Airlines,Travel,Miami,25.8695,-80.2666,desktop_safari
TXN000683,U00033,2024-01-23T08:19:00,240.32,Netflix,Entertainment,Austin,30.3436,-97.6584,desktop_chrome
TXN000905,U00048,2024-01-23T08:56:00,175.0,Delta Airlines,Travel,Austin,30.2405,-97.6628,desktop_safari
TXN001015,U00020,2024-01-23T10:12:00,191.32,McDonald's,Food & Beverage,New York,40.7279,-74.0802,mobile_android
TXN001721,U00059,2024-01-23T15:21:00,239.46,Airbnb,Travel,Denver,39.7114,-104.9522,mobile_ios
TXN001775,U00031,2024-01-23T21:44:00,1.0,Venmo,Transfer,New York,40.7251,-73.9588,tablet_ios
TXN000226,U00007,2024-01-24T09:40:00,227.73,Netflix,Entertainment,Austin,30.1221,-97.6143,mobile_android
TXN000619,U00028,2024-01-24T11:21:00,73.65,Apple Store,Electronics,Phoenix,33.3346,-112.1816,mobile_android
TXN000864,U00032,2024-01-24T12:54:00,250.18,Walmart,Retail,Austin,30.2055,-97.8485,emulator_android
TXN000115,U00047,2024-01-24T18:03:00,186.31,Best Buy,Electronics,Denver,39.7577,-105.0315,mobile_android
TXN000785,U00046,2024-01-24T23:17:00,196.22,Shell,Gas Station,Seattle,47.7122,-122.22,desktop_safari
TXN000783,U00072,2024-01-25T06:22:00,101.96,Apple Store,Electronics,Austin,30.2243,-97.8455,mobile_android
TXN001403,U00063,2024-01-25T22:03:00,156.27,Spotify,Entertainment,Phoenix,33.3033,-112.0928,mobile_ios
TXN000312,U00050,2024-01-26T11:54:00,344.93,Delta Airlines,Travel,Denver,39.8463,-104.9461,desktop_safari
TXN000267,U00060,2024-01-26T11:59:00,1874.28,Uber,Transportation,New York,40.6927,-73.9387,desktop_chrome
TXN001669,U00071,2024-01-26T14:05:00,284.66,McDonald's,Food & Beverage,Boston,42.4897,-71.073,desktop_safari
TXN001970,U00015,2024-01-26T20:37:00,301.03,Steam Games,Entertainment,Tokyo,35.6848,139.6547,tablet_ios
TXN002050,U00066,2024-01-26T22:00:00,956.78,CryptoExchange Pro,Cryptocurrency,London,51.4589,-0.1548,unknown_device
TXN000351,U00036,2024-01-26T22:14:00,125.87,Best Buy,Electronics,Philadelphia,39.9956,-75.1942,mobile_android
TXN000467,U00020,2024-01-26T23:01:00,153.46,DoorDash,Food Delivery,New York,40.8545,-74.0714,mobile_android
TXN001747,U00035,2024-01-27T10:04:00,345.14,Planet Fitness,Health & Fitness,Boston,42.4948,-71.0324,mobile_android
TXN001671,U00080,2024-01-27T11:18:00,280.17,Marriott Hotels,Travel,Houston,29.7515,-95.3928,mobile_ios
TXN000594,U00015,2024-01-27T11:29:00,247.33,Steam Games,Entertainment,Los Angeles,34.0451,-118.2508,desktop_chrome
TXN000733,U00004,2024-01-27T11:40:00,140.72,DoorDash,Food Delivery,Los Angeles,34.1395,-118.3529,desktop_chrome
TXN000822,U00016,2024-01-27T12:15:00,257.11,Starbucks,Food & Beverage,Austin,30.293,-97.7452,desktop_chrome
TXN000375,U00077,2024-01-27T15:31:00,408.04,CVS Pharmacy,Healthcare,San Antonio,29.4391,-98.6217,tablet_ios
TXN001002,U00031,2024-01-27T16:27:00,80.15,Starbucks,Food & Beverage,New York,40.784,-74.0257,mobile_android
TXN001225,U00068,2024-01-27T21:42:00,158.62,Steam Games,Entertainment,Boston,42.3662,-71.1138,desktop_chrome
TXN000325,U00053,2024-01-28T10:08:00,113.49,Marriott Hotels,Travel,Houston,29.7132,-95.2236,desktop_safari
TXN001076,U00028,2024-01-28T12:55:00,40.09,Apple Store,Electronics,Phoenix,33.5842,-112.0189,mobile_android
TXN000913,U00070,2024-01-28T13:51:00,223.72,Airbnb,Travel,San Diego,32.7481,-117.1967,mobile_android
TXN000355,U00047,2024-01-28T13:54:00,197.34,Spotify,Entertainment,Denver,39.6888,-104.9101,tablet_ios
TXN000627,U00006,2024-01-28T17:18:00,189.57,DoorDash,Food Delivery,London,51.5499,-0.1602,desktop_safari
TXN001056,U00022,2024-01-28T17:41:00,60.36,Planet Fitness,Health & Fitness,Denver,39.6476,-105.1078,mobile_android
TXN001788,U00018,2024-01-28T22:11:00,3.88,Netflix,Entertainment,Austin,30.3799,-97.6534,mobile_android
TXN000391,U00073,2024-01-28T23:29:00,159.84,Amazon,E-commerce,San Diego,32.7306,-117.2239,tablet_ios
TXN001922,U00051,2024-01-28T23:55:00,157.15,DoorDash,Food Delivery,San Antonio,29.4896,-98.3555,desktop_safari
TXN001048,U00029,2024-01-29T10:07:00,199.99,McDonald's,Food & Beverage,Seattle,47.6674,-122.3689,mobile_ios
TXN000154,U00028,2024-01-29T10:32:00,65.08,Airbnb,Travel,Phoenix,33.3686,-111.9491,mobile_android
TXN000410,U00019,2024-01-29T11:16:00,258.1,Venmo,Transfer,San Diego,32.7207,-117.1895,desktop_safari
TXN001979,U00053,2024-01-29T11:42:00,121.33,Target,Retail,Houston,29.7996,-95.3217,desktop_safari
TXN001377,U00011,2024-01-29T20:36:00,14.62,Amazon,E-commerce,Denver,39.6636,-105.0635,mobile_android
TXN000309,U00026,2024-01-30T13:02:00,207.65,Apple Store,Electronics,San Francisco,37.6401,-122.4613,desktop_chrome
TXN001858,U00021,2024-01-30T20:56:00,60.78,Walmart,Retail,San Antonio,29.4919,-98.4147,desktop_safari
TXN000272,U00036,2024-01-30T21:33:00,11.15,Planet Fitness,Health & Fitness,Philadelphia,40.0327,-75.0153,mobile_android
TXN001052,U00020,2024-01-31T07:38:00,146.09,DoorDash,Food Delivery,New York,40.7138,-74.1527,mobile_android
TXN001191,U00043,2024-01-31T10:13:00,247.98,Uber,Transportation,Houston,29.8554,-95.4209,mobile_android
TXN001206,U00011,2024-01-31T14:54:00,52.89,Amazon,E-commerce,Denver,39.7044,-105.1346,mobile_ios
TXN000219,U00027,2024-01-31T17:34:00,78.13,Starbucks,Food & Beverage,San Diego,32.7448,-117.2606,mobile_ios
TXN001444,U00009,2024-01-31T19:08:00,34.79,DoorDash,Food Delivery,San Diego,32.71,-117.263,mobile_android
TXN001751,U00031,2024-01-31T19:13:00,1.0,Starbucks,Food & Beverage,New York,40.7629,-74.0983,tablet_ios
TXN001571,U00047,2024-01-31T21:15:00,249.07,Apple Store,Electronics,Denver,39.7791,-105.0421,tablet_ios
TXN000846,U00011,2024-02-01T07:24:00,77.26,FastTransfer Wire,Transfer,Denver,39.8562,-104.9323,desktop_safari
TXN000140,U00031,2024-02-01T09:29:00,1.0,Venmo,Transfer,New York,40.6107,-73.9502,tablet_ios
TXN000823,U00035,2024-02-01T16:29:00,432.72,Delta Airlines,Travel,Boston,42.2297,-71.2002,mobile_ios
TXN000258,U00073,2024-02-01T19:42:00,171.09,Walmart,Retail,San Diego,32.6367,-117.2328,desktop_safari
TXN001953,U00080,2024-02-01T20:46:00,230.89,Netflix,Entertainment,Houston,29.8996,-95.3904,mobile_ios
TXN000588,U00034,2024-02-01T21:37:00,166.28,Amazon,E-commerce,San Francisco,37.7968,-122.3725,mobile_android
TXN001256,U00053,2024-02-01T23:49:00,106.64,Amazon,E-commerce,Houston,29.6889,-95.4245,desktop_safari
TXN001566,U00061,2024-02-02T06:28:00,76.76,Starbucks,Food & Beverage,Los Angeles,34.0273,-118.3309,desktop_safari
TXN000385,U00080,2024-02-02T07:44:00,241.73,Apple Store,Electronics,Houston,29.7177,-95.3689,mobile_android
TXN001580,U00064,2024-02-02T08:08:00,85.44,Shell,Gas Station,San Francisco,37.6556,-122.5204,desktop_chrome
TXN001379,U00025,2024-02-02T10:33:00,40.75,Walmart,Retail,Denver,39.6075,-105.072,mobile_ios
TXN001476,U00019,2024-02-02T17:04:00,261.22,Airbnb,Travel,San Diego,32.7366,-117.0269,desktop_safari
TXN002070,U00062,2024-02-03T01:00:00,625.4,FastTransfer Wire,Transfer,Moscow,55.743,37.5674,unknown_device
TXN001475,U00056,2024-02-03T11:01:00,240.6,Starbucks,Food & Beverage,New York,40.6973,-73.9609,mobile_android
TXN000100,U00012,2024-02-03T15:25:00,35.2,Amazon,E-commerce,Miami,25.7694,-80.1111,desktop_chrome
TXN000063,U00043,2024-02-03T16:06:00,223.36,Uber,Transportation,Houston,29.8139,-95.4346,mobile_android
TXN001116,U00072,2024-02-03T18:18:00,101.66,Starbucks,Food & Beverage,Austin,30.1809,-97.8279,mobile_android
TXN001418,U00040,2024-02-03T19:54:00,284.23,Delta Airlines,Travel,Miami,25.6805,-80.1314,mobile_android
TXN000914,U00001,2024-02-03T21:04:00,148.83,DoorDash,Food Delivery,Seattle,47.4718,-122.1845,mobile_android
TXN000599,U00002,2024-02-04T06:26:00,17.1,DoorDash,Food Delivery,New York,40.7204,-73.9504,mobile_ios
TXN001632,U00062,2024-02-04T11:37:00,62.82,Airbnb,Travel,Houston,29.6452,-95.5079,tablet_ios
TXN001971,U00071,2024-02-04T14:36:00,271.99,DoorDash,Food Delivery,Boston,42.3046,-71.0086,desktop_safari
TXN001067,U00021,2024-02-04T14:36:00,16.5,DoorDash,Food Delivery,San Antonio,29.3801,-98.6223,desktop_safari
TXN000908,U00062,2024-02-04T16:01:00,143.58,Spotify,Entertainment,Houston,29.884,-95.3851,tablet_ios
TXN001563,U00014,2024-02-04T16:45:00,1.0,Grubhub,Food Delivery,Austin,30.2995,-97.8507,mobile_ios
TXN001677,U00006,2024-02-04T18:08:00,345.49,CVS Pharmacy,Healthcare,Los Angeles,33.9884,-118.235,desktop_safari
TXN000511,U00002,2024-02-04T18:42:00,35.19,Netflix,Entertainment,New York,40.7617,-73.8821,mobile_ios
TXN001030,U00025,2024-02-05T10:04:00,19.2,Target,Retail,Denver,39.6628,-104.8676,desktop_safari
TXN001930,U00057,2024-02-05T11:03:00,372.44,Target,Retail,Miami,25.6856,-80.0715,tablet_ios
TXN001911,U00041,2024-02-05T12:00:00,364.76,Delta Airlines,Travel,Miami,25.7137,-80.3317,desktop_safari
TXN000855,U00026,2024-02-05T16:12:00,273.53,Apple Store,Electronics,San Francisco,37.8333,-122.2748,desktop_chrome
TXN000885,U00062,2024-02-05T18:57:00,140.32,Best Buy,Electronics,Houston,29.6494,-95.4581,desktop_chrome
TXN001120,U00003,2024-02-05T21:06:00,172.33,Best Buy,Electronics,San Francisco,37.8419,-122.487,desktop_safari
TXN002043,U00066,2024-02-05T22:00:00,2068.08,Offshore Trading Ltd,Finance,Tokyo,35.7251,139.6282,emulator_android
TXN001623,U00057,2024-02-05T22:11:00,300.2,Steam Games,Entertainment,Miami,25.6941,-80.1723,mobile_android
TXN000615,U00030,2024-02-06T07:47:00,159.41,Spotify,Entertainment,Phoenix,33.4451,-112.2183,mobile_android
TXN001505,U00029,2024-02-06T09:07:00,243.52,Starbucks,Food & Beverage,Seattle,47.7269,-122.3355,mobile_ios
TXN001823,U00078,2024-02-06T09:55:00,150.37,Marriott Hotels,Travel,Boston,42.4019,-71.0364,mobile_android
TXN000231,U00062,2024-02-06T13:24:00,68.7,DoorDash,Food Delivery,Houston,29.8296,-95.4891,desktop_chrome
TXN000562,U00022,2024-02-06T15:39:00,165.98,Planet Fitness,Health & Fitness,Denver,39.7514,-105.1251,mobile_android
TXN001323,U00069,2024-02-06T17:31:00,203.44,Delta Airlines,Travel,Phoenix,33.5205,-112.0481,tablet_ios
TXN001220,U00054,2024-02-06T19:56:00,340.8,Netflix,Entertainment,Houston,29.6533,-95.4218,tablet_ios
TXN000957,U00051,2024-02-06T22:46:00,133.84,Amazon,E-commerce,San Antonio,29.3588,-98.3667,desktop_safari
TXN000757,U00008,2024-02-06T23:38:00,250.12,Best Buy,Electronics,Boston,42.2379,-71.1324,desktop_chrome
TXN001407,U00043,2024-02-07T11:41:00,216.95,Uber,Transportation,Houston,29.7123,-95.3615,mobile_android
TXN001831,U00059,2024-02-07T16:47:00,245.08,Netflix,Entertainment,Denver,39.6192,-105.0876,mobile_ios
TXN001680,U00027,2024-02-07T17:53:00,81.5,Starbucks,Food & Beverage,San Diego,32.6004,-117.0399,mobile_ios
TXN001406,U00025,2024-02-07T19:52:00,32.94,Walmart,Retail,Denver,39.7289,-104.8735,mobile_ios
TXN000630,U00029,2024-02-07T21:37:00,282.66,DoorDash,Food Delivery,Seattle,47.4725,-122.3513,mobile_ios
TXN000340,U00066,2024-02-08T09:57:00,134.96,Planet Fitness,Health & Fitness,San Diego,32.759,-117.1741,desktop_chrome
TXN001597,U00048,2024-02-08T14:26:00,183.43,McDonald's,Food & Beverage,Austin,30.2064,-97.8826,desktop_safari
TXN001742,U00053,2024-02-08T22:23:00,2182.12,Target,Retail,Houston,29.7599,-95.2982,desktop_safari
TXN001797,U00067,2024-02-09T10:11:00,205.63,Delta Airlines,Travel,Seattle,47.6066,-122.2456,mobile_ios
TXN000179,U00051,2024-02-09T15:10:00,98.89,DoorDash,Food Delivery,San Antonio,29.4441,-98.3888,desktop_safari
